"cliente","producto_recomendado","descripcion"
"53ffb83e85fd51cf1ec2fdef3c78b4fd","01012310","PLATANOS DE CANARIAS"
"26f424b3bba6aaf97952ac599ed39f75","01027205","PUERROS"
"b51353fcf07cb61280eda45e33679871","01027805","LECHUGAS"
"25d259d32a2bc254343715f2e347c518","01201005","CEBOLLAS AMARILLAS"
"32cc820ac27ff143c3ea976f3fe69d34","04032060","LONCHAS PORCION NACIONAL"
"8b9aa623b654a8be21b316a5fdf41007","04032065","LONCHAS PORCION INTERNACIONAL"
"02ff5edaa057b63ea0a0010c5402205c","11040303","AGUA DE MESA"
"e27ceb0a1576648212c4325fdf7d8002","12650101","P.H. SECO BASICO 2C NORMAL"
"af30d404e282749ccd5f5ad0c8e834c7","12650103","P.H. SECO BASICO 2C LARGO"
"a57938025d714b65612bf2cfde12136d","12670111","ROLLO COCINA LARGO"
