"descripcion","cantidad"
"ZANAHORIAS",1590
"P.H. SECO BASICO 2C LARGO",1424
"PLATANOS DE CANARIAS",1376
"ENTERO DE SABORES",1311
"AGUA DE MESA",1298
"LECHE UHT ENTERA",1274
"JAMON DE CERDO",1263
"ENTERO NATURAL",1259
"PECHUGA DE PAVO",1187
"ATUN CLARO EN ACEITE OLIVA",1168
"PATATAS TODO USO",1167
"LECHE UHT SEMIDESNATADA",1155
"CALABACINES",1009
"CEBOLLAS AMARILLAS",989
"PUERROS",907
"ROLLO COCINA LARGO",853
"MANDARINAS POSTRE",825
"ARROZ REDONDO",785
"TOMATE FRITO LISO BRIK PACK",745
"P.H. SECO BASICO 2C NORMAL",527
