"CLIENTES","COD_PRODUCTO","DESCRIPCION"
"fe234baf66f020e01feb5253dfb398f0","01012310","PLATANOS DE CANARIAS"
"d85ceefcf666f2b27e3e1e1252e5a1ac","01026810","BROCOLIS"
"a8a16b0b76cb14783348e920a59588ed","05040181","ENTERO DE SABORES"
"1d98f84a5f074ed9c7a47515d4f5f329","09130302","PASTA LARGA ESPAGUETI"
"528435b91691a75f5a60c6ccf4c6294c","01027205","PUERROS"
"8e8315ed119c1382c4d351bbb188510e","05040181","ENTERO DE SABORES"
"fe52311b246f88407a1142d891ad77ae","01013315","MANDARINAS POSTRE"
"503a6539df48964124fe026b9deb5d13","11080105","CERVEZAS LAGER LATA"
"a809525fe25b3de695bc87e00bea215f","05040180","ENTERO NATURAL"
"ec926181c315b758d775ee64a6a8e033","01027205","PUERROS"
