"cliente","producto_recomendado","score","cod_est","descripcion"
"fe234baf66f020e01feb5253dfb398f0","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"d85ceefcf666f2b27e3e1e1252e5a1ac","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"a8a16b0b76cb14783348e920a59588ed","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"1d98f84a5f074ed9c7a47515d4f5f329","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"528435b91691a75f5a60c6ccf4c6294c","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"8e8315ed119c1382c4d351bbb188510e","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"fe52311b246f88407a1142d891ad77ae","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"503a6539df48964124fe026b9deb5d13","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"a809525fe25b3de695bc87e00bea215f","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
"ec926181c315b758d775ee64a6a8e033","X01012515",NA,"01012515","MANZANAS DULCES OTRAS"
